time,open,close,high,low,ma5,ma10
2024-12-18,0.9541962462,0.9513393001,0.9549461312,0.9498638475,0.9461592477,0.9438550690
2024-12-19,0.9540754754,0.9507237054,0.9548884514,0.9507237054,0.9481845655,0.9449636311
2024-12-20,0.9665898618,0.9600078161,0.9670510708,0.9600078161,0.9515338249,0.9468094298
2024-12-23,0.9604363400,0.9692667446,0.9693788861,0.9604363400,0.9567356427,0.9491862958
2024-12-24,0.9675540765,0.9712227839,0.9746245642,0.9675540765,0.9605120700,0.9520775025
2024-12-25,0.9729864103,0.9711086674,0.9729864103,0.9708959995,0.9644659435,0.9553125956
2024-12-26,0.9710000000,0.9697991012,0.9710000000,0.9676836084,0.9682810226,0.9582327941
2024-12-27,0.9703581449,0.9703991825,0.9737454304,0.9703581449,0.9703592959,0.9609465604
2024-12-30,0.9717868339,0.9721681138,0.9745672437,0.9710819672,0.9709395698,0.9638376062
2024-12-31,0.9712026359,0.9733953425,0.9734222678,0.9709615891,0.9713740815,0.9659430758
2025-01-02,0.9735051793,0.9710846756,0.9735051793,0.9692584667,0.9713692831,0.9679176133
2025-01-03,0.9692711064,0.9775632946,0.9781153916,0.9692711064,0.9729221218,0.9706015722
2025-01-06,0.9766520141,0.9802431611,0.9802431611,0.9766520141,0.9748909175,0.9726251067
2025-01-07,0.9783236994,0.9767458475,0.9815872785,0.9767458475,0.9758064642,0.9733730170
2025-01-08,0.9793536804,0.9789413160,0.9826009699,0.9780860904,0.9769156589,0.9741448702
2025-01-09,0.9819140103,0.9777026541,0.9819140103,0.9769902048,0.9782392546,0.9748042689
2025-01-10,0.9771541644,0.9834310850,0.9840792370,0.9761989343,0.9794128127,0.9761674673
2025-01-13,0.9799985266,0.9826302730,0.9888496562,0.9799985266,0.9798902351,0.9773905763
2025-01-14,0.9800399202,0.9689261605,0.9804272412,0.9689261605,0.9783262977,0.9770663810
2025-01-15,0.9708703994,0.9690656566,0.9714114495,0.9690656566,0.9763511658,0.9766334124
2025-01-16,0.9679793505,0.9693378085,0.9697727673,0.9643577214,0.9746781967,0.9764587257
2025-01-17,0.9609679116,0.9606784354,0.9616953922,0.9581275720,0.9701276668,0.9747702398
2025-01-20,0.9611683849,0.9592875318,0.9611683849,0.9590824129,0.9654591186,0.9726746768
2025-01-21,0.9590435525,0.9571301492,0.9601109955,0.9571301492,0.9630999163,0.9707131070
2025-01-22,0.9599449888,0.9597010299,0.9599449888,0.9579687768,0.9612269910,0.9687890784
2025-01-23,0.9612220515,0.9591426890,0.9612220515,0.9567580261,0.9591879671,0.9669330819
2025-01-24,0.9598739787,0.9524662162,0.9598739787,0.9524662162,0.9575455232,0.9638365950
2025-01-27,0.9489274427,0.9554795703,0.9554795703,0.9489274427,0.9567839309,0.9611215247
2025-02-05,0.9541033953,0.9546654779,0.9559351277,0.9507113821,0.9562909966,0.9596954565
2025-02-06,0.9543988471,0.9539458304,0.9576332586,0.9527611444,0.9551399568,0.9581834739
2025-02-07,0.9526414088,0.9527840667,0.9527840667,0.9516515544,0.9538682323,0.9565280997
2025-02-10,0.9537203598,0.9512338043,0.9541344731,0.9504035787,0.9536217499,0.9555836366
2025-02-11,0.9527284574,0.9493902041,0.9527284574,0.9493902041,0.9524038767,0.9545939038
2025-02-12,0.9490479146,0.9485135787,0.9499662802,0.9485135787,0.9511734968,0.9537322467
2025-02-13,0.9482065305,0.9510931174,0.9510931174,0.9482065305,0.9506029542,0.9528714555
2025-02-14,0.9514729686,0.9548443241,0.9548443241,0.9514729686,0.9510150057,0.9524416190
2025-02-17,0.9546547028,0.9501865192,0.9546547028,0.9501005123,0.9508055487,0.9522136493
2025-02-18,0.9506976444,0.9529311643,0.9534093907,0.9491982040,0.9515137407,0.9519588087
2025-02-19,0.9534304896,0.9476602564,0.9534304896,0.9476602564,0.9513430763,0.9512582866
2025-02-20,0.9459546199,0.9462138654,0.9477602320,0.9454845990,0.9503672259,0.9504850901
2025-02-21,0.9455281443,0.9421472105,0.9460454691,0.9416472054,0.9478278032,0.9494214044
2025-02-24,0.9443573668,0.9415386549,0.9443573668,0.9407469812,0.9460982303,0.9484518895
2025-02-25,0.9427203855,0.9362746641,0.9427203855,0.9362746641,0.9427669303,0.9471403355
2025-02-26,0.9350437537,0.9339957638,0.9367941539,0.9326527456,0.9400340317,0.9456885540
2025-02-27,0.9341920594,0.9325643024,0.9341920594,0.9310628340,0.9373041191,0.9438356725
2025-02-28,0.9332164438,0.9370826913,0.9370826913,0.9324683445,0.9362912153,0.9420595092
2025-03-03,0.9364800000,0.9407600476,0.9407600476,0.9364800000,0.9361354938,0.9411168621
2025-03-04,0.9394968309,0.9390368200,0.9418058032,0.9390104662,0.9366879250,0.9397274276
2025-03-05,0.9387430390,0.9354981784,0.9387430390,0.9351006351,0.9369884079,0.9385112198
