number,time,thscode,open,high,low,close,volume,amount,turnoverRatio
369,2024-07-12,000905.SH,4926.9812,4937.3471,4905.7967,4919.3639,97175106.0,115594261300.0,0.8536
368,2024-07-15,000905.SH,4903.5161,4903.5161,4868.743,4883.8971,86824312.0,102734711417.0,0.7626
367,2024-07-16,000905.SH,4877.601,4907.8321,4850.4315,4898.3626,87267978.0,113648284398.0,0.7665
366,2024-07-17,000905.SH,4893.4137,4900.3599,4853.603,4856.5794,96909547.0,117932902594.0,0.8512
365,2024-07-18,000905.SH,4822.1303,4879.6927,4793.4294,4877.6916,96654750.0,115283847816.0,0.8489
364,2024-07-19,000905.SH,4853.0422,4900.3787,4842.9297,4872.0532,93290746.0,111989382468.0,0.8194
363,2024-07-22,000905.SH,4872.6362,4885.3641,4839.1121,4865.9778,92710458.0,110307683161.0,0.8142
362,2024-07-23,000905.SH,4862.9705,4862.9705,4722.7994,4722.7994,102403712.0,110578297603.0,0.8994
361,2024-07-24,000905.SH,4712.287,4738.762,4661.8271,4668.0621,112674635.0,103026731862.0,0.9895
360,2024-07-25,000905.SH,4644.4217,4710.4627,4635.244,4665.4488,88600074.0,95885153870.0,0.778
359,2024-07-26,000905.SH,4670.4463,4744.4537,4670.4463,4736.3771,86472049.0,94118612207.0,0.7593
358,2024-07-29,000905.SH,4740.499,4742.1481,4702.9803,4708.8443,81102039.0,90979232032.0,0.7121
357,2024-07-30,000905.SH,4694.5247,4712.0417,4650.5592,4699.282,83353382.0,86181033614.0,0.7318
356,2024-07-31,000905.SH,4694.7288,4887.9192,4687.0458,4886.4136,143180919.0,146601666178.0,1.2571
355,2024-08-01,000905.SH,4893.8709,4928.2412,4834.6536,4852.9725,113213393.0,119765528789.0,0.994
354,2024-08-02,000905.SH,4816.9369,4874.7114,4783.115,4788.6159,98529844.0,105654740577.0,0.8651
353,2024-08-05,000905.SH,4756.0755,4846.542,4693.8165,4693.8478,113338148.0,123487463651.0,0.9947
352,2024-08-06,000905.SH,4740.4539,4774.9279,4699.1769,4750.776,107774770.0,105286322238.0,0.9458
351,2024-08-07,000905.SH,4747.9803,4783.4202,4719.938,4751.9408,96989481.0,96834771203.0,0.8512
350,2024-08-08,000905.SH,4737.0927,4791.6592,4701.7856,4755.8149,104309253.0,95364149202.0,0.9154
349,2024-08-09,000905.SH,4778.2568,4805.0992,4720.3104,4720.3104,108819586.0,88057504682.0,0.9549
348,2024-08-12,000905.SH,4716.9605,4737.1908,4696.0525,4714.1586,89100832.0,76375856580.0,0.7813
347,2024-08-13,000905.SH,4713.9598,4731.8353,4680.5879,4731.8353,81365173.0,71101413452.0,0.7135
346,2024-08-14,000905.SH,4729.8146,4730.2369,4667.0731,4667.0731,74588030.0,68308163886.0,0.654
345,2024-08-15,000905.SH,4656.695,4746.4095,4647.7947,4698.375,90973293.0,83712897622.0,0.7977
344,2024-08-16,000905.SH,4703.6042,4708.0187,4662.1132,4670.3789,87379580.0,81927269813.0,0.7661
343,2024-08-19,000905.SH,4666.3308,4729.8742,4666.2577,4682.9628,87136867.0,80742361426.0,0.7638
342,2024-08-20,000905.SH,4684.2948,4686.3633,4590.3913,4602.0095,91846146.0,81351685185.0,0.805
341,2024-08-21,000905.SH,4589.0885,4610.8666,4582.2653,4587.1218,83526910.0,74809964819.0,0.7321
340,2024-08-22,000905.SH,4589.4956,4595.0496,4526.2499,4533.3695,85856868.0,78202476719.0,0.7525
339,2024-08-23,000905.SH,4523.9907,4549.3026,4513.2038,4537.0872,75778364.0,71369991696.0,0.6642
338,2024-08-26,000905.SH,4542.8564,4558.5917,4523.7274,4544.3594,87118296.0,84365247767.0,0.7633
337,2024-08-27,000905.SH,4532.4861,4532.4861,4487.0915,4495.2856,82529205.0,78742868645.0,0.7231
336,2024-08-28,000905.SH,4486.4311,4527.7686,4482.0324,4500.0088,82681199.0,74244549233.0,0.7244
335,2024-08-29,000905.SH,4483.5534,4577.7919,4475.2228,4557.9006,103115562.0,96829969885.0,0.9035
334,2024-08-30,000905.SH,4557.5014,4704.3407,4548.3827,4639.1144,151593361.0,144749168233.0,1.3282
333,2024-09-02,000905.SH,4631.9003,4632.3107,4546.8393,4546.8832,126368517.0,115893027848.0,1.1071
332,2024-09-03,000905.SH,4543.2198,4612.2826,4543.2198,4596.4819,98589686.0,92749159673.0,0.8638
331,2024-09-04,000905.SH,4567.6858,4623.3782,4552.3037,4582.084,92435685.0,88646018095.0,0.8098
330,2024-09-05,000905.SH,4585.1677,4630.6388,4582.0535,4601.0911,80583723.0,80148632781.0,0.7059
329,2024-09-06,000905.SH,4609.3419,4613.3097,4535.3486,4537.4544,90147596.0,80215749103.0,0.7897
328,2024-09-09,000905.SH,4517.5658,4541.7935,4487.8427,4507.1866,91944608.0,81907584835.0,0.8054
327,2024-09-10,000905.SH,4509.3236,4528.6691,4432.9128,4507.7074,98529542.0,87011759812.0,0.8631
326,2024-09-11,000905.SH,4490.1867,4529.3452,4479.0306,4514.9158,85206842.0,81707868060.0,0.7464
325,2024-09-12,000905.SH,4518.9882,4568.7462,4496.5919,4496.5919,86654304.0,80916511376.0,0.7591
324,2024-09-13,000905.SH,4500.3949,4509.072,4450.9587,4450.9587,92533757.0,85710614260.0,0.8106
323,2024-09-18,000905.SH,4450.089,4474.722,4397.161,4462.8701,90989683.0,79102523648.0,0.797
322,2024-09-19,000905.SH,4481.4635,4565.3899,4437.5363,4520.3939,115611868.0,105405904205.0,1.0127
321,2024-09-20,000905.SH,4514.9598,4515.8064,4471.9438,4498.3901,94312044.0,89084435755.0,0.8261
320,2024-09-23,000905.SH,4495.7805,4545.5411,4483.13,4494.6878,89935227.0,85104838086.0,0.7876
319,2024-09-24,000905.SH,4524.2214,4690.5736,4503.1245,4689.5964,177144703.0,159947071683.0,1.5513
318,2024-09-25,000905.SH,4743.6343,4847.2034,4724.4301,4731.4755,204593519.0,182209573751.0,1.7901
317,2024-09-26,000905.SH,4725.996,4938.1839,4719.3492,4938.1839,229930323.0,196122560309.0,2.0115
316,2024-09-27,000905.SH,5027.2644,5227.9577,5021.5148,5201.6656,230177508.0,232646658013.0,2.0138
315,2024-09-30,000905.SH,5449.7889,5757.9213,5387.338,5743.217,388703200.0,418784669569.0,3.4004
314,2024-10-08,000905.SH,6417.8142,6417.8142,5868.8525,6155.5817,493546420.0,579263323622.0,4.3171
313,2024-10-09,000905.SH,6013.7015,6088.0804,5704.4779,5735.641,431156416.0,529447530364.0,3.7713
312,2024-10-10,000905.SH,5768.6107,5875.9358,5597.4766,5690.8822,353480245.0,390814224053.0,3.0919
311,2024-10-11,000905.SH,5650.0488,5652.852,5408.8696,5470.8133,244383373.0,266749263112.0,2.1371
310,2024-10-14,000905.SH,5503.6461,5623.9685,5408.3917,5608.153,250608541.0,279231292489.0,2.1916
309,2024-10-15,000905.SH,5578.2611,5661.0749,5471.8807,5472.56,238997019.0,276816614631.0,2.0894
308,2024-10-16,000905.SH,5393.6657,5546.1764,5393.6657,5461.0877,205450926.0,222425749319.0,1.7963
307,2024-10-17,000905.SH,5499.7659,5541.0331,5417.881,5418.9883,202768685.0,234458932483.0,1.7726
306,2024-10-18,000905.SH,5416.0319,5774.1408,5404.2035,5640.0198,287114219.0,352062136787.0,2.51
305,2024-10-21,000905.SH,5680.5648,5797.8808,5631.2316,5704.225,266885186.0,359965731440.0,2.3332
304,2024-10-22,000905.SH,5703.3196,5779.2983,5673.7901,5753.8497,237023624.0,312584329120.0,2.0721
303,2024-10-23,000905.SH,5745.1069,5853.4555,5727.7736,5776.383,273412640.0,336167749458.0,2.3902
302,2024-10-24,000905.SH,5747.5577,5759.8651,5694.7789,5726.7041,207690046.0,257232250890.0,1.8157
301,2024-10-25,000905.SH,5735.2853,5855.2647,5729.4384,5809.6879,236725708.0,299590180533.0,2.0695
300,2024-10-28,000905.SH,5816.3296,5883.7203,5787.4843,5883.7203,270653787.0,312663682664.0,2.3662
299,2024-10-29,000905.SH,5903.3065,5917.2149,5807.29,5812.5286,275371143.0,332481504887.0,2.4064
298,2024-10-30,000905.SH,5793.8326,5869.1113,5777.43,5837.9338,252021275.0,315956554496.0,2.2022
297,2024-10-31,000905.SH,5839.9766,5935.1827,5812.0324,5901.2904,313549202.0,377454102585.0,2.7398
296,2024-11-01,000905.SH,5893.3192,5934.2031,5795.0805,5831.8217,369840641.0,429257467070.0,3.2317
295,2024-11-04,000905.SH,5835.3918,5928.9085,5835.3918,5928.9085,286552294.0,342776867780.0,2.504
294,2024-11-05,000905.SH,5925.8652,6119.2536,5910.8887,6111.9707,366344492.0,441462863294.0,3.2012
