number,time,thscode,open,high,low,close,amount,volume
376,2024-08-05,IMZL.CFE,4780.0000000000,4852.2000000000,4652.2000000000,4670.6000000000,10220870.4639999997,107524.0000000000
375,2024-08-06,IMZL.CFE,4739.4000000000,4764.4000000000,4673.0000000000,4729.8000000000,8336242.9000000004,88344.0000000000
374,2024-08-07,IMZL.CFE,4721.0000000000,4759.0000000000,4693.0000000000,4719.0000000000,7011874.1840000004,74151.0000000000
373,2024-08-08,IMZL.CFE,4701.2000000000,4772.0000000000,4655.0000000000,4735.0000000000,8332407.6639999999,88332.0000000000
372,2024-08-09,IMZL.CFE,4772.0000000000,4792.0000000000,4682.0000000000,4687.0000000000,7357408.2800000003,77726.0000000000
371,2024-08-12,IMZL.CFE,4687.0000000000,4703.6000000000,4651.0000000000,4678.4000000000,6272999.4199999999,67101.0000000000
370,2024-08-13,IMZL.CFE,4678.2000000000,4705.0000000000,4637.0000000000,4689.8000000000,6414008.6160000004,68645.0000000000
369,2024-08-14,IMZL.CFE,4690.0000000000,4701.0000000000,4640.6000000000,4641.6000000000,4804849.6040000003,51499.0000000000
368,2024-08-15,IMZL.CFE,4580.0000000000,4719.4000000000,4573.6000000000,4637.4000000000,11030360.9839999992,118664.0000000000
367,2024-08-16,IMZL.CFE,4649.0000000000,4668.8000000000,4602.0000000000,4606.2000000000,8356151.7359999996,90140.0000000000
366,2024-08-19,IMZL.CFE,4608.0000000000,4687.4000000000,4600.2000000000,4622.8000000000,7431430.2079999996,80063.0000000000
365,2024-08-20,IMZL.CFE,4626.0000000000,4632.8000000000,4518.2000000000,4537.0000000000,8803208.7280000001,96619.0000000000
364,2024-08-21,IMZL.CFE,4530.2000000000,4559.0000000000,4513.6000000000,4522.0000000000,6604997.4960000003,72862.0000000000
363,2024-08-22,IMZL.CFE,4528.0000000000,4538.2000000000,4456.4000000000,4473.2000000000,7915799.8600000003,88130.0000000000
362,2024-08-23,IMZL.CFE,4478.0000000000,4494.0000000000,4445.6000000000,4475.0000000000,7837315.6760000000,87728.0000000000
361,2024-08-26,IMZL.CFE,4480.0000000000,4517.0000000000,4458.6000000000,4489.2000000000,6993257.5439999998,77864.0000000000
360,2024-08-27,IMZL.CFE,4476.0000000000,4480.0000000000,4422.8000000000,4442.2000000000,6868920.8080000002,77232.0000000000
359,2024-08-28,IMZL.CFE,4433.0000000000,4493.8000000000,4421.2000000000,4450.2000000000,7329516.2439999999,82253.0000000000
358,2024-08-29,IMZL.CFE,4434.6000000000,4553.6000000000,4432.0000000000,4527.4000000000,10212389.0840000007,113326.0000000000
357,2024-08-30,IMZL.CFE,4527.6000000000,4697.6000000000,4525.2000000000,4621.0000000000,13218027.0360000003,142796.0000000000
356,2024-09-02,IMZL.CFE,4612.0000000000,4634.8000000000,4508.8000000000,4515.6000000000,8216291.4119999995,89892.0000000000
355,2024-09-03,IMZL.CFE,4524.0000000000,4592.8000000000,4514.0000000000,4547.4000000000,8677854.8800000008,95410.0000000000
354,2024-09-04,IMZL.CFE,4530.0000000000,4587.0000000000,4507.0000000000,4536.2000000000,8667992.2400000002,95403.0000000000
353,2024-09-05,IMZL.CFE,4544.6000000000,4611.4000000000,4544.6000000000,4577.2000000000,8051276.4239999996,88060.0000000000
352,2024-09-06,IMZL.CFE,4595.0000000000,4597.4000000000,4482.0000000000,4497.2000000000,8181155.5880000005,90398.0000000000
351,2024-09-09,IMZL.CFE,4487.2000000000,4518.6000000000,4445.2000000000,4457.4000000000,7688870.4639999997,85871.0000000000
350,2024-09-10,IMZL.CFE,4471.0000000000,4502.4000000000,4378.8000000000,4473.6000000000,10359219.1079999991,116746.0000000000
349,2024-09-11,IMZL.CFE,4460.0000000000,4494.4000000000,4439.0000000000,4474.8000000000,7706823.3439999996,86309.0000000000
348,2024-09-12,IMZL.CFE,4484.0000000000,4545.0000000000,4461.6000000000,4468.4000000000,7811238.6840000004,86856.0000000000
347,2024-09-13,IMZL.CFE,4475.0000000000,4478.6000000000,4414.2000000000,4416.8000000000,7149870.2439999999,80427.0000000000
346,2024-09-18,IMZL.CFE,4413.0000000000,4423.0000000000,4337.4000000000,4405.0000000000,7954040.9519999996,90715.0000000000
345,2024-09-19,IMZL.CFE,4422.2000000000,4543.2000000000,4380.0000000000,4487.4000000000,8225328.5839999998,92123.0000000000
344,2024-09-20,IMZL.CFE,4456.0000000000,4457.8000000000,4388.2000000000,4422.6000000000,7127609.5080000004,80598.0000000000
343,2024-09-23,IMZL.CFE,4415.2000000000,4497.8000000000,4402.4000000000,4437.0000000000,6963263.7520000003,78245.0000000000
342,2024-09-24,IMZL.CFE,4496.0000000000,4656.8000000000,4438.2000000000,4653.2000000000,14257872.6760000009,156875.0000000000
341,2024-09-25,IMZL.CFE,4710.0000000000,4802.8000000000,4672.6000000000,4676.4000000000,13264284.7039999999,140021.0000000000
340,2024-09-26,IMZL.CFE,4671.4000000000,4940.0000000000,4662.4000000000,4937.4000000000,14595858.5040000007,152942.0000000000
339,2024-09-27,IMZL.CFE,5022.0000000000,5362.6000000000,4954.4000000000,5362.2000000000,21971528.6519999988,212983.0000000000
338,2024-09-30,IMZL.CFE,5521.0000000000,5813.4000000000,5392.6000000000,5813.4000000000,20342345.4160000011,180916.0000000000
337,2024-10-08,IMZL.CFE,6381.2000000000,6381.2000000000,5906.0000000000,6219.8000000000,26240115.3159999996,211253.0000000000
336,2024-10-09,IMZL.CFE,6050.0000000000,6129.6000000000,5679.0000000000,5749.8000000000,28155910.2879999988,236928.0000000000
335,2024-10-10,IMZL.CFE,5860.0000000000,5934.6000000000,5629.6000000000,5664.0000000000,23011654.4279999994,199403.0000000000
334,2024-10-11,IMZL.CFE,5630.2000000000,5650.0000000000,5345.0000000000,5423.0000000000,19944306.4519999996,181571.0000000000
333,2024-10-14,IMZL.CFE,5460.0000000000,5638.6000000000,5337.6000000000,5613.0000000000,18266706.1400000006,166111.0000000000
332,2024-10-15,IMZL.CFE,5555.0000000000,5708.6000000000,5481.0000000000,5481.4000000000,16276775.4159999993,145218.0000000000
331,2024-10-16,IMZL.CFE,5438.4000000000,5620.0000000000,5425.0000000000,5527.2000000000,14036288.4240000006,126998.0000000000
330,2024-10-17,IMZL.CFE,5588.0000000000,5634.4000000000,5489.2000000000,5490.0000000000,10145624.1160000004,91036.0000000000
329,2024-10-18,IMZL.CFE,5455.0000000000,5989.8000000000,5430.0000000000,5728.0000000000,27047036.4560000002,237911.0000000000
328,2024-10-21,IMZL.CFE,5780.0000000000,5944.0000000000,5750.4000000000,5822.6000000000,19220215.1039999984,164469.0000000000
327,2024-10-22,IMZL.CFE,5817.0000000000,5896.0000000000,5764.0000000000,5850.6000000000,16789641.0119999982,144065.0000000000
326,2024-10-23,IMZL.CFE,5828.0000000000,5976.0000000000,5811.2000000000,5866.2000000000,19241868.8040000014,163299.0000000000
325,2024-10-24,IMZL.CFE,5840.0000000000,5861.0000000000,5775.6000000000,5832.0000000000,14936012.1760000009,128380.0000000000
324,2024-10-25,IMZL.CFE,5855.8000000000,6001.8000000000,5843.4000000000,5979.4000000000,20376100.0839999989,171776.0000000000
323,2024-10-28,IMZL.CFE,5981.4000000000,6050.8000000000,5931.0000000000,6044.0000000000,15548231.3920000009,129514.0000000000
322,2024-10-29,IMZL.CFE,6075.0000000000,6087.4000000000,5931.2000000000,5951.0000000000,19017523.9679999985,158353.0000000000
321,2024-10-30,IMZL.CFE,5936.0000000000,6009.6000000000,5890.8000000000,5975.0000000000,18120582.1079999991,152202.0000000000
