number,time,thscode,open,high,low,close,amount,volume
422,2024-06-19,ICZL.CFE,5240.2000000000,5244.8000000000,5162.4000000000,5169.2000000000,5192432.4800000004,50079.0000000000
421,2024-06-20,ICZL.CFE,5171.6000000000,5184.6000000000,5085.0000000000,5091.0000000000,4388256.9919999996,42791.0000000000
420,2024-06-21,ICZL.CFE,5050.0000000000,5097.4000000000,5041.4000000000,5060.6000000000,4708081.6720000003,46410.0000000000
419,2024-06-24,ICZL.CFE,5042.0000000000,5048.0000000000,4949.2000000000,4965.0000000000,5660103.8880000003,56646.0000000000
418,2024-06-25,ICZL.CFE,4981.0000000000,4982.8000000000,4882.4000000000,4923.4000000000,5441992.4079999998,55099.0000000000
417,2024-06-26,ICZL.CFE,4920.0000000000,5003.8000000000,4886.6000000000,4990.2000000000,5475566.4000000004,55463.0000000000
416,2024-06-27,ICZL.CFE,4980.0000000000,4981.8000000000,4892.0000000000,4908.0000000000,4709215.0439999998,47806.0000000000
415,2024-06-28,ICZL.CFE,4900.0000000000,4992.0000000000,4897.2000000000,4909.0000000000,5245384.6600000001,53004.0000000000
414,2024-07-01,ICZL.CFE,4926.0000000000,4998.4000000000,4898.2000000000,4968.2000000000,4515197.0159999998,45638.0000000000
413,2024-07-02,ICZL.CFE,4963.6000000000,4973.2000000000,4902.4000000000,4924.6000000000,4089906.8199999998,41411.0000000000
412,2024-07-03,ICZL.CFE,4921.0000000000,4933.2000000000,4875.0000000000,4879.8000000000,3863313.0839999998,39403.0000000000
411,2024-07-04,ICZL.CFE,4895.0000000000,4907.8000000000,4795.0000000000,4803.8000000000,4381275.7560000001,45177.0000000000
410,2024-07-05,ICZL.CFE,4807.0000000000,4857.6000000000,4771.2000000000,4842.0000000000,4664797.4440000001,48528.0000000000
409,2024-07-08,ICZL.CFE,4840.0000000000,4840.0000000000,4738.6000000000,4762.4000000000,4058376.9600000000,42429.0000000000
408,2024-07-09,ICZL.CFE,4757.8000000000,4881.0000000000,4731.2000000000,4854.8000000000,5855517.1840000004,60958.0000000000
407,2024-07-10,ICZL.CFE,4853.8000000000,4881.8000000000,4827.0000000000,4831.4000000000,3926219.1359999999,40434.0000000000
406,2024-07-11,ICZL.CFE,4878.4000000000,4939.6000000000,4855.2000000000,4925.4000000000,4693489.3399999999,47850.0000000000
405,2024-07-12,ICZL.CFE,4920.4000000000,4934.6000000000,4893.6000000000,4908.0000000000,3171964.2480000001,32287.0000000000
404,2024-07-15,ICZL.CFE,4898.0000000000,4898.0000000000,4851.0000000000,4862.6000000000,3592443.2080000001,36883.0000000000
403,2024-07-16,ICZL.CFE,4861.2000000000,4903.0000000000,4834.2000000000,4881.2000000000,4123530.6839999999,42351.0000000000
402,2024-07-17,ICZL.CFE,4877.4000000000,4894.8000000000,4840.0000000000,4851.2000000000,4070639.6039999998,41903.0000000000
401,2024-07-18,ICZL.CFE,4824.8000000000,4881.6000000000,4787.8000000000,4879.2000000000,3889339.1719999998,40280.0000000000
400,2024-07-19,ICZL.CFE,4831.0000000000,4882.2000000000,4807.8000000000,4846.2000000000,4378011.0319999997,45201.0000000000
399,2024-07-22,ICZL.CFE,4856.2000000000,4874.4000000000,4807.0000000000,4834.4000000000,3478257.8679999998,35928.0000000000
398,2024-07-23,ICZL.CFE,4855.0000000000,4855.0000000000,4690.2000000000,4691.0000000000,4124075.5800000001,43339.0000000000
397,2024-07-24,ICZL.CFE,4692.0000000000,4711.4000000000,4624.8000000000,4631.4000000000,4638076.4400000004,49659.0000000000
396,2024-07-25,ICZL.CFE,4618.0000000000,4692.8000000000,4608.0000000000,4627.2000000000,4594144.5360000003,49530.0000000000
395,2024-07-26,ICZL.CFE,4652.8000000000,4727.0000000000,4647.2000000000,4709.4000000000,4473542.1679999996,47643.0000000000
394,2024-07-29,ICZL.CFE,4719.4000000000,4719.4000000000,4672.0000000000,4679.4000000000,3044022.1560000000,32458.0000000000
393,2024-07-30,ICZL.CFE,4666.0000000000,4694.0000000000,4618.6000000000,4673.0000000000,3759145.3199999998,40323.0000000000
392,2024-07-31,ICZL.CFE,4675.6000000000,4892.4000000000,4660.0000000000,4890.2000000000,6242886.5319999997,65007.0000000000
391,2024-08-01,ICZL.CFE,4891.8000000000,4936.2000000000,4816.6000000000,4841.0000000000,4642220.4639999997,47712.0000000000
390,2024-08-02,ICZL.CFE,4807.8000000000,4871.4000000000,4768.2000000000,4777.8000000000,4315293.2400000002,44787.0000000000
389,2024-08-05,ICZL.CFE,4752.0000000000,4849.6000000000,4676.4000000000,4689.8000000000,5995872.2039999999,63016.0000000000
388,2024-08-06,ICZL.CFE,4759.0000000000,4777.2000000000,4685.4000000000,4738.2000000000,4492788.8399999999,47514.0000000000
387,2024-08-07,ICZL.CFE,4729.2000000000,4780.0000000000,4704.0000000000,4735.6000000000,3674652.0079999999,38749.0000000000
386,2024-08-08,ICZL.CFE,4721.0000000000,4793.0000000000,4691.4000000000,4752.4000000000,4276090.8399999999,45060.0000000000
385,2024-08-09,ICZL.CFE,4780.0000000000,4808.2000000000,4703.2000000000,4707.8000000000,3661237.6639999999,38544.0000000000
384,2024-08-12,ICZL.CFE,4704.2000000000,4738.0000000000,4683.2000000000,4717.6000000000,3303980.8840000001,35050.0000000000
383,2024-08-13,ICZL.CFE,4715.0000000000,4734.8000000000,4675.0000000000,4729.2000000000,3570101.6080000000,37932.0000000000
382,2024-08-14,ICZL.CFE,4725.0000000000,4728.8000000000,4653.2000000000,4653.8000000000,3331623.2799999998,35579.0000000000
381,2024-08-15,ICZL.CFE,4623.8000000000,4735.8000000000,4616.0000000000,4661.2000000000,5670407.0199999996,60654.0000000000
380,2024-08-16,ICZL.CFE,4677.0000000000,4685.4000000000,4639.0000000000,4642.8000000000,4186437.0240000002,44945.0000000000
379,2024-08-19,ICZL.CFE,4638.8000000000,4720.4000000000,4638.8000000000,4662.0000000000,4204766.6880000001,44914.0000000000
378,2024-08-20,ICZL.CFE,4662.0000000000,4670.0000000000,4553.2000000000,4572.0000000000,5200992.0920000002,56620.0000000000
377,2024-08-21,ICZL.CFE,4569.0000000000,4586.0000000000,4556.6000000000,4570.6000000000,3302145.5000000000,36116.0000000000
376,2024-08-22,ICZL.CFE,4569.0000000000,4582.0000000000,4497.0000000000,4514.6000000000,4482355.8760000002,49428.0000000000
375,2024-08-23,ICZL.CFE,4519.0000000000,4538.6000000000,4500.6000000000,4518.6000000000,4204907.1919999998,46541.0000000000
374,2024-08-26,ICZL.CFE,4535.0000000000,4548.0000000000,4505.2000000000,4527.0000000000,3615295.9920000001,39957.0000000000
373,2024-08-27,ICZL.CFE,4516.8000000000,4518.0000000000,4472.8000000000,4480.2000000000,3836335.8199999998,42750.0000000000
372,2024-08-28,ICZL.CFE,4475.8000000000,4520.6000000000,4468.0000000000,4483.0000000000,3953290.8920000000,44030.0000000000
371,2024-08-29,ICZL.CFE,4470.0000000000,4576.2000000000,4461.6000000000,4547.2000000000,5541242.5959999999,61142.0000000000
370,2024-08-30,ICZL.CFE,4546.4000000000,4711.2000000000,4542.0000000000,4628.4000000000,7289243.5599999987,78511.0000000000
369,2024-09-02,ICZL.CFE,4623.0000000000,4631.8000000000,4526.8000000000,4532.4000000000,4564408.7999999998,49899.0000000000
368,2024-09-03,ICZL.CFE,4540.0000000000,4607.6000000000,4532.8000000000,4576.0000000000,4578078.2000000002,50062.0000000000
367,2024-09-04,ICZL.CFE,4555.0000000000,4618.4000000000,4532.0000000000,4569.2000000000,4646899.9919999996,50798.0000000000
366,2024-09-05,ICZL.CFE,4580.2000000000,4628.6000000000,4569.6000000000,4592.4000000000,4036483.9360000002,43941.0000000000
365,2024-09-06,ICZL.CFE,4603.8000000000,4615.4000000000,4512.8000000000,4524.2000000000,4564299.1040000003,50076.0000000000
364,2024-09-09,ICZL.CFE,4515.0000000000,4543.0000000000,4475.0000000000,4494.6000000000,4566736.4440000001,50661.0000000000
363,2024-09-10,ICZL.CFE,4505.0000000000,4524.2000000000,4411.6000000000,4493.0000000000,5983329.5959999999,67033.0000000000
362,2024-09-11,ICZL.CFE,4485.4000000000,4525.0000000000,4463.2000000000,4509.2000000000,4338225.3600000003,48234.0000000000
361,2024-09-12,ICZL.CFE,4526.0000000000,4573.8000000000,4485.4000000000,4496.4000000000,4743014.2000000002,52479.0000000000
360,2024-09-13,ICZL.CFE,4505.2000000000,4510.0000000000,4444.0000000000,4444.8000000000,4412444.7439999999,49248.0000000000
359,2024-09-18,ICZL.CFE,4452.0000000000,4476.6000000000,4385.0000000000,4460.0000000000,5482572.1239999998,61868.0000000000
358,2024-09-19,ICZL.CFE,4474.8000000000,4577.6000000000,4426.0000000000,4530.0000000000,4981846.3159999996,55324.0000000000
357,2024-09-20,ICZL.CFE,4496.0000000000,4500.0000000000,4446.2000000000,4474.8000000000,4424058.3760000002,49475.0000000000
356,2024-09-23,ICZL.CFE,4465.0000000000,4538.8000000000,4452.8000000000,4478.4000000000,4133769.7840000000,45993.0000000000
355,2024-09-24,ICZL.CFE,4530.0000000000,4706.0000000000,4490.8000000000,4705.6000000000,8277215.4720000001,90166.0000000000
354,2024-09-25,ICZL.CFE,4746.2000000000,4851.4000000000,4720.4000000000,4732.0000000000,8004083.5680000000,83625.0000000000
353,2024-09-26,ICZL.CFE,4731.0000000000,5002.0000000000,4723.2000000000,4995.2000000000,8248687.5240000002,85335.0000000000
352,2024-09-27,ICZL.CFE,5050.0000000000,5432.4000000000,5027.0000000000,5430.2000000000,13685444.3359999992,130777.0000000000
351,2024-09-30,ICZL.CFE,5631.0000000000,5902.8000000000,5451.0000000000,5902.8000000000,13773892.9159999993,120986.0000000000
350,2024-10-08,ICZL.CFE,6483.0000000000,6483.0000000000,5876.0000000000,6098.2000000000,18896802.7960000001,152218.0000000000
349,2024-10-09,ICZL.CFE,6013.0000000000,6108.2000000000,5690.0000000000,5790.8000000000,16304817.2320000008,137726.0000000000
